INFO 2025-11-04 21:52:04,920 autoreload 12216 17504 Watching for file changes with StatReloader
INFO 2025-11-04 21:52:38,531 views 12216 20620 Request: GET /api/crops/
INFO 2025-11-04 21:52:38,533 basehttp 12216 20620 "GET /api/crops/ HTTP/1.1" 200 1186
INFO 2025-11-04 21:52:38,534 views 12216 20620 Request: GET /api/crops/
INFO 2025-11-04 21:52:38,535 basehttp 12216 20620 "GET /api/crops/ HTTP/1.1" 200 1186
INFO 2025-11-04 21:52:42,098 views 12216 20620 Request: GET /api/farmer-timeline/
INFO 2025-11-04 21:52:42,101 basehttp 12216 20620 "GET /api/farmer-timeline/ HTTP/1.1" 200 2
INFO 2025-11-04 21:52:42,103 views 12216 20620 Request: GET /api/weather/1/
INFO 2025-11-04 21:52:42,451 basehttp 12216 20620 "GET /api/weather/1/ HTTP/1.1" 200 1861
INFO 2025-11-04 21:52:49,048 views 12216 20620 Request: GET /api/chat/history/
INFO 2025-11-04 21:52:49,053 basehttp 12216 20620 "GET /api/chat/history/ HTTP/1.1" 200 854
INFO 2025-11-04 21:52:49,054 views 12216 20620 Request: GET /api/chat/history/
INFO 2025-11-04 21:52:49,058 basehttp 12216 20620 "GET /api/chat/history/ HTTP/1.1" 200 854
INFO 2025-11-04 21:52:49,126 basehttp 12216 24408 "GET /media/chat_images/phone-call.png HTTP/1.1" 200 11467
INFO 2025-11-04 21:52:49,128 basehttp 12216 14748 "GET /media/chat_images/Screenshot_2025-09-24_222438.png HTTP/1.1" 200 161109
INFO 2025-11-04 21:52:56,861 views 12216 20620 Request: GET /api/market-prices/
WARNING 2025-11-04 21:52:56,861 log 12216 20620 Unauthorized: /api/market-prices/
INFO 2025-11-04 21:52:56,862 views 12216 17860 Request: GET /api/crops/
WARNING 2025-11-04 21:52:56,862 basehttp 12216 20620 "GET /api/market-prices/ HTTP/1.1" 401 35
INFO 2025-11-04 21:52:56,863 views 12216 20620 Request: GET /api/market-prices/
WARNING 2025-11-04 21:52:56,863 log 12216 20620 Unauthorized: /api/market-prices/
WARNING 2025-11-04 21:52:56,864 basehttp 12216 20620 "GET /api/market-prices/ HTTP/1.1" 401 35
INFO 2025-11-04 21:52:56,864 basehttp 12216 17860 "GET /api/crops/ HTTP/1.1" 200 1186
INFO 2025-11-04 21:52:56,865 views 12216 17860 Request: GET /api/crops/
INFO 2025-11-04 21:52:56,866 basehttp 12216 17860 "GET /api/crops/ HTTP/1.1" 200 1186
INFO 2025-11-04 21:52:57,178 views 12216 11756 Request: GET /api/market/
INFO 2025-11-04 21:52:57,179 basehttp 12216 11756 "GET /api/market/ HTTP/1.1" 200 2
INFO 2025-11-04 21:52:57,180 views 12216 11756 Request: GET /api/market/
INFO 2025-11-04 21:52:57,181 basehttp 12216 11756 "GET /api/market/ HTTP/1.1" 200 2
INFO 2025-11-04 21:53:17,823 basehttp 12216 17860 "OPTIONS /api/market-prices/ai-suggestions/?crop=Moth%20Bean HTTP/1.1" 200 0
INFO 2025-11-04 21:53:17,824 views 12216 17860 Request: GET /api/market-prices/ai-suggestions/
INFO 2025-11-04 21:53:17,827 basehttp 12216 17860 "GET /api/market-prices/ai-suggestions/?crop=Moth%20Bean HTTP/1.1" 200 128
INFO 2025-11-04 21:53:46,182 views 12216 11756 Request: GET /api/notifications/
WARNING 2025-11-04 21:53:46,182 log 12216 11756 Unauthorized: /api/notifications/
WARNING 2025-11-04 21:53:46,183 basehttp 12216 11756 "GET /api/notifications/ HTTP/1.1" 401 25
INFO 2025-11-04 21:53:46,185 views 12216 11756 Request: GET /api/notifications/
WARNING 2025-11-04 21:53:46,185 log 12216 11756 Unauthorized: /api/notifications/
WARNING 2025-11-04 21:53:46,185 basehttp 12216 11756 "GET /api/notifications/ HTTP/1.1" 401 25
INFO 2025-11-04 21:56:35,966 autoreload 30560 14124 Watching for file changes with StatReloader
INFO 2025-11-04 21:57:24,441 views 12216 17860 Request: GET /api/crops/
INFO 2025-11-04 21:57:24,443 basehttp 12216 17860 "GET /api/crops/ HTTP/1.1" 200 1186
